br-data-accession,br-data-model-protein-accession,br-data-product-name,br-data-family-type,br-data-gene-symbol,br-data-ec-number,br-data-go-terms,br-data-complete_ident,br-data-complete-wp-coverage,br-data-complete-br-coverage,br-data-hits-number,br-data-date
NBR001555,WP_013852507.1,IS30-like element ISErh2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,14,2023-10-03
NBR001556,WP_003773604.1,IS30-like element ISErh4 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,14,2023-10-03
NBR001557,WP_015895337.1,IS30-like element ISGau8 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001558,WP_011872570.1,IS30-like element ISHar4 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001559,WP_011872576.1,IS30-like element ISHar5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001560,WP_076611241.1,IS30-like element ISL7 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,162,2023-10-03
NBR001561,WP_012387085.1,IS30-like element ISLbi2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR001562,WP_024273026.1,IS30-like element ISLga1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,35,2023-10-03
NBR001563,WP_011161461.1,IS30-like element ISLjo1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,26,2023-10-03
NBR001564,WP_053338758.1,IS30-like element ISLpl1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1294,2023-10-03
NBR001565,WP_011373852.1,IS30-like element ISLsa1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,502,2023-10-03
NBR001566,WP_417774593.1,IS30-like element ISLxc3 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2025-03-06
NBR001567,WP_011185157.1,IS30-like element ISLxx5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001568,WP_012266743.1,IS30-like element ISMae39 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,39,2023-10-03
NBR001569,WP_076611594.1,IS30-like element ISMag1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,19,2023-10-03
NBR001570,WP_076611595.1,IS30-like element ISMbov1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,149,2023-10-03
NBR001572,WP_011727847.1,IS30-like element ISMsm8 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,8,2023-10-03
NBR001573,WP_012330561.1,IS30-like element ISMtsp4 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,5,2023-10-03
NBR001574,WP_076611796.1,IS30-like element ISPa37 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,139,2023-10-03
NBR001575,WP_058159172.1,IS30-like element ISPa59 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,13,2023-10-03
NBR001576,WP_076612041.1,IS30-like element ISPfl2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,4,2023-10-03
NBR001577,WP_036941684.1,IS30-like element ISPfr14 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,10,2025-03-06
NBR001578,WP_013162088.1,IS30-like element ISPfr16 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,8,2023-10-03
NBR001579,WP_013160158.1,IS30-like element ISPfr9 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,22,2023-10-03
NBR001580,WP_011145223.1,IS30-like element ISPlu1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,5,2023-10-03
NBR001581,WP_076611098.1,IS30-like element ISPp1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,102,2023-10-03
NBR001582,WP_004577240.1,IS30-like element ISPpu17 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,35,2023-10-03
NBR001583,WP_017846754.1,IS30-like element ISPsme1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,9,2023-10-03
NBR001584,WP_023662037.1,IS30-like element ISPsp4 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,19,2023-10-03
NBR001585,WP_076612044.1,IS30-like element ISPsp7 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,70,2023-10-03
NBR001586,WP_058182715.1,IS30-like element ISPsp8 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,7,2023-10-03
NBR001587,WP_076612043.1,IS30-like element ISPst1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001588,WP_076612042.1,IS30-like element ISPst10 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR001589,WP_003373643.1,IS30-like element ISPsy38 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,18,2023-10-03
NBR001590,WP_011654719.1,IS30-like element ISRle2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001591,WP_011229360.1,IS30-like element ISRme10 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001592,WP_009817807.1,IS30-like element ISRssp4 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001593,WP_001871253.1,IS30-like element ISSag3 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,10,2023-10-03
NBR001594,WP_000160532.1,IS30-like element ISSag9 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,163,2023-10-03
NBR001595,WP_000121211.1,IS30-like element ISSau1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,192,2023-10-03
NBR001596,WP_011839966.1,IS30-like element ISSba10 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001597,WP_011845808.1,IS30-like element ISSba16 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,13,2023-10-03
NBR001598,WP_011847251.1,IS30-like element ISSba17 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR001599,WP_076612212.1,IS30-like element ISSc1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR001600,WP_011494503.1,IS30-like element ISSde3 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,5,2023-10-03
NBR001601,WP_012677391.1,IS30-like element ISSeq6 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,19,2023-10-03
NBR001602,WP_011711660.1,IS30-like element ISShes10 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,11,2023-10-03
NBR001603,WP_000163009.1,IS30-like element ISSmi1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,14,2023-10-03
NBR001604,WP_000160547.1,IS30-like element ISSmi3 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR001605,WP_001155321.1,IS30-like element ISSpn8 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,282,2023-10-03
NBR001606,WP_044815221.1,IS30-like element ISSpn9 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,7,2023-10-03
NBR001607,WP_054608914.1,IS30-like element IST3091 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR001608,WP_010956682.1,IS30-like element ISTde2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,15,2023-10-03
NBR001609,WP_011544423.1,IS30-like element ISUnCu4 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,26,2023-10-03
NBR001610,WP_076611895.1,IS30-like element ISVa6 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,265,2023-10-03
NBR001611,WP_012549047.1,IS30-like element ISVsa7 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR001612,WP_076611600.1,IS30-like element ISVvu6 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,31,2023-10-03
NBR001613,WP_004389801.1,IS30-like element ISYkr1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR001614,WP_010900377.1,virulence-associated protein VapD,BlastRuleException,vapD,,,94,90,90,1,2018-01-16
NBR001615,WP_010900364.1,virulence-associated protein VapG,BlastRuleException,vapG,,,94,90,90,1,2022-07-15
NBR001616,WP_012532611.1,virulence-associated protein VapK,BlastRuleException,vapK,,,94,90,90,3,2018-01-16
NBR001617,WP_012532617.1,virulence-associated protein VapB,BlastRuleException,vapB,,,94,90,90,2,2018-01-16
NBR001618,WP_011114832.1,virulence-associated protein VapA,BlastRuleException,vapA,,,94,90,90,2,2018-01-16
NBR001619,WP_012532615.1,virulence-associated protein VapM,BlastRuleException,vapM,,,94,90,90,4,2018-01-16
NBR001620,WP_012532608.1,virulence-associated protein VapJ,BlastRuleException,vapJ,,,94,90,90,2,2018-01-16
NBR001621,WP_010900368.1,virulence-associated protein VapH,BlastRuleException,vapH,,,94,90,90,1,2018-01-16
NBR001622,WP_012532634.1,virulence-associated protein VapE,BlastRuleException,vapE,,,94,90,90,2,2018-01-16
NBR001623,WP_010900376.1,virulence-associated protein VapC,BlastRuleException,vapC,,,94,90,90,1,2018-01-16
NBR001624,WP_076611220.1,ISNCY-like element ISPa1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR001625,WP_002083946.1,ISNCY-like element ISBth165 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001626,WP_002134166.1,ISNCY-like element ISBth18 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR001627,WP_013277949.1,ISNCY-like element ISAcar1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001628,WP_011915667.1,ISNCY-like element ISCsa7 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001629,WP_010879711.1,ISNCY-like element ISA1214-6 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR001630,WP_012548938.1,ISNCY-like element ISVsa17 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001631,WP_010877790.1,ISNCY-like element ISA1214-1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR001632,WP_011147726.1,ISNCY-like element ISPlu15 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,4,2023-10-03
NBR001633,WP_009886142.1,ISNCY-like element ISFac3 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001634,WP_086558287.1,ISNCY-like element ISTvo2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR001635,WP_010980023.1,ISNCY-like element ISSto10 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001636,WP_010980262.1,ISNCY-like element ISSto15 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001637,WP_010923767.1,ISNCY-like element ISC1217 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,5,2023-10-03
NBR001638,WP_076611571.1,ISNCY-like element ISC1205 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR001639,WP_012710760.1,ISNCY-like element ISSis4 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR001640,WP_011498675.1,ISNCY-like element ISMbu11 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,8,2023-10-03
NBR001641,WP_011498755.1,ISNCY-like element ISMbu2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001642,WP_012744876.1,ISNCY-like element ISKol11 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR001643,WP_002679811.1,ISNCY-like element ISTde1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR001644,WP_076612093.1,ISNCY-like element ISM1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR001645,WP_076611114.1,ISNCY-like element ISAtsp9 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR001646,WP_420107052.1,ISNCY-like element ISCARN53 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2025-03-20
NBR001647,WP_020730853.1,ISNCY-like element ISMyma11 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,5,2023-10-03
NBR001648,WP_086557932.1,ISNCY-like element ISCARN63 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR001649,WP_076611177.1,ISNCY-like element ISMae2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR001651,WP_011405636.1,ISNCY-like element ISMst1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,4,2023-10-03
NBR001652,WP_086558032.1,ISNCY-like element ISCARN112 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR001653,WP_086558113.1,ISNCY-like element ISCARN62 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR001654,WP_043767036.1,ISNCY-like element ISMex6 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,4,2023-10-03
NBR001655,WP_011020207.1,ISNCY-like element ISMac19 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,5,2023-10-03
NBR001656,WP_011033147.1,ISNCY-like element ISMma11 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,8,2023-10-03
NBR001657,WP_044615412.1,ISNCY-like element ISGys1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001658,WP_076611903.1,ISNCY-like element ISAjo2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,12,2023-10-03
NBR001659,WP_012476087.1,ISNCY-like element ISLbi1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR001660,WP_001986494.1,ISNCY-like element ISAba32 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,43,2023-10-03
NBR001661,WP_027033250.1,ISNCY-like element ISMlo5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,6,2023-10-03
NBR001662,WP_011653555.1,ISNCY-like element ISRle10 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001663,WP_010970069.1,ISNCY-like element ISRm17 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,70,2023-10-03
NBR001664,WP_012707505.1,ISNCY-like element ISRsp17 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,5,2023-10-03
NBR001665,WP_014028568.1,ISNCY-like element ISAcif1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001666,WP_023760734.1,ISNCY-like element ISMesp3 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001667,WP_004126005.1,ISNCY-like element ISRtr6 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,6,2023-10-03
NBR001668,WP_008868331.1,ISNCY-like element ISDth2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001669,WP_011783936.1,ISNCY-like element ISMaq5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001670,WP_057144789.1,ISNCY-like element ISMesp4 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001671,WP_023759937.1,ISNCY-like element ISMesp5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR001672,WP_076611902.1,ISNCY-like element ISLad2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,50,2023-10-03
NBR001673,WP_012174089.1,ISNCY-like element ISDol1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001674,WP_012032524.1,ISNCY-like element ISPeth1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
NBR001675,WP_033724454.1,ISNCY-like element ISMav10 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2025-03-20
NBR001676,WP_420107468.1,ISNCY-like element ISMav9 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2025-03-20
NBR001677,WP_067563722.1,ISNCY-like element ISAfer1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001678,WP_035232337.1,ISNCY-like element ISDes1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001679,WP_076611864.1,ISNCY-like element ISDesu1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001680,WP_014827402.1,ISNCY-like element ISDsac1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001681,WP_030063052.1,ISNCY-like element ISSna1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001682,WP_039638715.1,ISNCY-like element ISStsp10 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,2,2023-10-03
NBR001683,WP_076611432.1,ISNCY-like element ISCb1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001684,WP_420106954.1,ISNCY-like element ISDpr11 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2025-03-20
NBR001685,WP_062282354.1,ISNCY-like element ISMomu1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001686,WP_011427422.1,ISNCY-like element ISRel26 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,5,2023-10-03
NBR001687,WP_015253349.1,ISNCY-like element ISTco5 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR001688,WP_007903612.1,ISNCY-like element ISKra7 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,3,2023-10-03
NBR001689,WP_012301814.1,ISNCY-like element ISCde2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001690,WP_063796744.1,ISNCY-like element ISChcr1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001691,WP_068413152.1,ISNCY-like element ISPlas1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001692,WP_055432126.1,ISNCY-like element ISSydi1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,1,2023-10-03
NBR001693,WP_086558057.1,ISNCY-like element IS1202 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,125,2023-10-03
NBR001694,WP_012677226.1,ISNCY-like element ISSeq2 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,90,2023-10-03
NBR001695,WP_001567368.1,ISNCY-like element ISKpn21 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,329,2023-10-03
NBR001696,WP_045707185.1,ISNCY-like element ISDeba1 family transposase,BlastRuleIS,,,"Molecular function: transposase activity (GO:0004803)
Biological process: DNA transposition (GO:0006313)",98,90,95,No hit has been calculated yet for this BlastRule,2023-10-03
